id,datum_zahajeni,omezeni_dodavky,nahradni_zasobovani,obec,ulice,datum_ukonceni,poznamka,longitude,latitude,ObjectId,GlobalID,x,y
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52750471,49.22428356,39,9e939d7a-62de-4a9c-a462-ee9ca43d7cd1,1839833.40840063,6313003.66293287
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52785626,49.22466395,40,c2ed0ec9-ed59-475e-a221-54a55e8e9ef0,1839872.54276762,6313068.49986889
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52777789,49.22489246,41,47a1c618-be01-42c0-a519-c3af71d99cdc,1839863.81865913,6313107.4493143
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52760789,49.22471645,42,c4556ee4-3543-46c2-9ddd-2e569415070a,1839844.89434569,6313077.44845864
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52746328,49.22456312,43,4bc51d0d-64ec-4184-b3d3-c9aa61adac7a,1839828.79643413,6313051.31348978
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52728937,49.22430795,44,ef5dd141-abde-42aa-9114-2ff3fdd638bb,1839809.43686148,6313007.8201588
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52688463,49.22396754,45,55068e9d-a1ac-40b4-baaa-b2f904442278,1839764.38141078,6312949.79815161
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52676562,49.22383633,46,64c5ea49-12be-4a29-a11e-2686ee07397a,1839751.13327818,6312927.433852
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52615404,49.22336908,47,7ee8a81c-16a4-4f4b-896f-dd979e5ac45c,1839683.052504,6312847.79315603
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52771292,49.22451421,48,a8417f88-b480-4482-a4ca-2b00019db6f7,1839856.58623181,6313042.97683869
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52727508,49.22437238,49,9048728d-a09e-4589-bd23-6ab54af398fb,1839807.84610596,6313018.80213123
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52680894,49.22388676,50,bbd4f868-6061-4a76-86ad-4c4516ea5d87,1839755.95563852,6312936.02946748
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52634894,49.22311089,51,eff8229a-1e76-4b9e-abd6-413bed420417,1839704.74867276,6312803.78613546
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52641518,49.22316703,52,27916c64-4ea5-453d-87e5-2f883dfc0d1f,1839712.12247583,6312813.35486036
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52656859,49.2233105,53,2cc96de0-eb7a-4e8a-a538-783b535e013a,1839729.19999891,6312837.80850723
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52678263,49.22349557,54,2404954f-0279-45d8-998d-f806b8296a46,1839753.02682272,6312869.35274276
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52699924,49.22369777,55,6db2107d-0e38-442a-8431-63d2a7f467ba,1839777.13973762,6312903.81683427
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52710052,49.22381705,56,b028a3b6-ea2e-4247-8894-31a677adb72c,1839788.41417565,6312924.14764637
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52723454,49.22396442,57,c60e21ad-45f4-4f1d-9251-bcd023e08ab0,1839803.3332138,6312949.2663575
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52733265,49.22407578,58,e7123f5c-bb44-4cc9-889b-712b562dd4d4,1839814.25476904,6312968.24733731
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52739607,49.22414456,59,37a29523-5bc2-4812-8890-d07d8e1ec852,1839821.31465115,6312979.97070451
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.5275362,49.22431385,60,4e468385-d24a-4acf-a059-da7bdfc997ff,1839836.9138514,6313008.82580212
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52768081,49.22447759,61,450452ff-5792-44d3-83ce-20b54d099837,1839853.01176296,6313036.73500883
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.5280118,49.22484783,62,8cb4b896-8b60-478c-b5a6-676f7025d733,1839889.85740122,6313099.84213307
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52773798,49.2248488,63,ba880cc9-2139-47fc-a398-62ea647efc27,1839859.37589825,6313100.00746945
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52756822,49.22467621,64,2c3bfdde-d337-41ed-9e68-408e901acfe5,1839840.47830149,6313070.58957681
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52750668,49.22461223,65,0406206f-174a-434e-84f4-690d8f5c6bf4,1839833.62770003,6313059.68423893
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52738173,49.22446974,66,09f343a1-2e11-4feb-b865-6007e7f8cd8e,1839819.71832965,6313035.39698746
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52734849,49.22443938,67,6dfa8a1a-5f36-458f-a015-9001ae27cb32,1839816.01806978,6313030.22217053
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52700293,49.22409149,68,4c036558-a90c-4976-a60a-190dabbc7e8a,1839777.55050654,6312970.92506339
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52692082,49.22400683,69,9c7368e0-896c-490f-b14e-416d085f03b2,1839768.41006315,6312956.49501045
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52684516,49.22392615,70,629619d3-a188-4e52-9e2d-81815f2dc18d,1839759.98763048,6312942.74336004
